gnd,pctile,year,count,hh_inc,le_agg,le_raceadj,sd_le_agg,sd_le_raceadj
F,1,2001,398740,499.10938,79.682068,79.893463,0.39283779,0.38523978
F,1,2002,411159,541.30695,79.183594,79.410622,0.35398081,0.34681734
F,1,2003,420298,529.1391,79.36441,79.572174,0.36478049,0.35909691
F,1,2004,427728,499.2995,79.898407,80.092476,0.35201848,0.34799159
F,1,2005,433665,474.14536,80.2836,80.465935,0.33461156,0.3309857
F,1,2006,438605,446.64832,79.513855,79.701607,0.33977714,0.33660409
F,1,2007,442887,441.61072,79.674423,79.851669,0.36357334,0.35797748
F,1,2008,448004,449.45914,79.223137,79.414818,0.33140743,0.32597205
F,1,2009,458014,171.33,74.229156,74.534164,0.29917401,0.29495668
F,1,2010,458386,402.86325,78.918732,79.124969,0.33468446,0.32835636
F,1,2011,457070,434.73639,79.550308,79.731888,0.34621432,0.34209535
F,1,2012,457885,452.17252,78.567635,78.759758,0.34831113,0.34346262
F,1,2013,455050,411.08719,79.299332,79.464867,0.3510817,0.34814534
F,1,2014,438263,327.1088,79.676346,79.824127,0.35279271,0.34872982
F,2,2001,399174,2063.011,80.966843,81.125061,0.42768267,0.41943708
F,2,2002,411937,2215.8499,80.959175,81.117905,0.38942811,0.38238463
F,2,2003,420922,2180.0881,80.250435,80.408615,0.41816401,0.40964475
F,2,2004,428453,2102.1819,81.404617,81.537674,0.36787745,0.36210105
F,2,2005,434236,2003.2932,81.221252,81.351906,0.38059983,0.37739035
F,2,2006,439182,1889,80.783897,80.92012,0.38593844,0.38023585
F,2,2007,443493,1895.3801,81.596794,81.715248,0.37889743,0.37276232
F,2,2008,448766,1932.0366,80.940704,81.074432,0.37592119,0.37103024
F,2,2009,459084,1386.1455,79.762726,79.924911,0.37055761,0.36370957
F,2,2010,459267,1858.4314,79.948944,80.118484,0.37967968,0.37507436
F,2,2011,457634,1998.6207,81.537766,81.663773,0.35635635,0.35228667
F,2,2012,458241,2077.6147,80.709343,80.844505,0.38902938,0.38294262
F,2,2013,455623,1892.2126,80.890282,81.009857,0.36130723,0.35526159
F,2,2014,438723,1517.9142,80.550102,80.674217,0.41058227,0.40300664
F,3,2001,399396,3938.1455,81.226563,81.354729,0.45858577,0.44944206
F,3,2002,412281,4176.957,80.769463,80.903343,0.40265068,0.39291602
F,3,2003,421320,4116.1484,81.354263,81.471512,0.4358249,0.42610648
F,3,2004,428784,3988.3936,82.627693,82.722084,0.38766813,0.38179883
F,3,2005,434493,3847.2749,81.71994,81.820351,0.39725032,0.38998517
F,3,2006,439698,3663.2512,82.63488,82.721352,0.38621801,0.38006681
F,3,2007,444042,3690.9641,82.419548,82.505142,0.37246972,0.3678287
F,3,2008,449091,3735.4341,80.935455,81.050659,0.40427241,0.39710629
F,3,2009,459745,3159.7275,81.152016,81.270462,0.3985514,0.39342123
F,3,2010,459535,3613.1948,82.019325,82.129913,0.3842214,0.37830403
F,3,2011,457977,3870.4431,81.990967,82.092026,0.38279375,0.37763745
F,3,2012,458365,3971.3926,81.628731,81.726471,0.38719374,0.38173509
F,3,2013,455966,3697.6194,81.097275,81.203835,0.40480325,0.39739299
F,3,2014,439130,3070.8765,81.81469,81.894371,0.39536753,0.38764471
F,4,2001,399612,5805.7427,80.935326,81.049797,0.50366509,0.49214965
F,4,2002,412463,6094.1606,81.162949,81.268372,0.46795803,0.45784694
F,4,2003,421507,6002.2134,81.92408,82.015091,0.42586106,0.41663373
F,4,2004,429073,5827.9702,80.557495,80.665871,0.44960839,0.44039321
F,4,2005,434703,5662.791,82.203796,82.279106,0.42198828,0.41453773
F,4,2006,439880,5443.5371,83.079689,83.140556,0.3791348,0.37505448
F,4,2007,444126,5480.8457,82.360863,82.430634,0.41937798,0.41187403
F,4,2008,449360,5525.3735,82.489334,82.561165,0.40502849,0.39937159
F,4,2009,459965,4886.1201,81.769386,81.860954,0.38728184,0.38117284
F,4,2010,459789,5297.6123,81.90097,82.00013,0.39066261,0.38580886
F,4,2011,458156,5614.2402,82.478203,82.556305,0.38239327,0.37618992
F,4,2012,458476,5729.5146,81.562172,81.65226,0.38927025,0.383674
F,4,2013,456188,5417.9292,82.286598,82.357407,0.4177106,0.41097176
F,4,2014,439180,4678.4766,81.966385,82.03553,0.40648529,0.3976135
F,5,2001,399911,7560.2358,81.294067,81.390022,0.50455642,0.49284899
F,5,2002,412534,7867.7437,82.267799,82.342102,0.43381852,0.42524236
F,5,2003,421835,7753.2583,81.664673,81.745598,0.46146181,0.45197755
F,5,2004,429350,7552.6816,81.705658,81.781387,0.44213942,0.43448764
F,5,2005,434841,7367.7285,82.571869,82.628883,0.42456105,0.41757271
F,5,2006,440001,7136.6797,82.670052,82.72448,0.4230887,0.41632456
F,5,2007,444426,7174.8438,82.972527,83.020226,0.40333718,0.39731762
F,5,2008,449525,7215.2173,82.30648,82.371391,0.4224073,0.41250136
F,5,2009,460129,6555.5186,81.530991,81.618149,0.4036859,0.39489105
F,5,2010,459877,6896.1689,82.517815,82.598892,0.39777732,0.39212653
F,5,2011,458190,7156.8828,82.705063,82.773834,0.42010862,0.41476199
F,5,2012,458525,7265.4351,82.069046,82.13652,0.41030267,0.40388516
F,5,2013,456283,6929.7451,81.773514,81.841492,0.42278048,0.41788775
F,5,2014,439437,6177.6523,82.728363,82.772202,0.40875626,0.40286151
F,6,2001,399878,9163.8906,81.883217,81.959129,0.49568734,0.48378021
F,6,2002,412911,9462.3887,82.171036,82.235641,0.47540462,0.46447048
F,6,2003,421831,9326.6699,81.754044,81.823952,0.47361282,0.46356499
F,6,2004,429422,9105.6729,82.356552,82.413078,0.48757356,0.47799841
F,6,2005,435041,8907.5078,82.564926,82.612984,0.45448276,0.44683757
F,6,2006,440213,8688.0146,82.455635,82.506714,0.45860034,0.45145193
F,6,2007,444660,8710.8701,82.814041,82.856491,0.44862139,0.43932396
F,6,2008,449718,8739.7148,81.968857,82.037186,0.46438214,0.45472875
F,6,2009,460270,8114.0068,81.002747,81.097664,0.45127779,0.44334775
F,6,2010,460192,8381.7344,82.497032,82.567696,0.41352412,0.4059886
F,6,2011,458403,8549.8027,82.369736,82.436958,0.44381756,0.43507689
F,6,2012,458398,8649.7168,82.269684,82.323898,0.40562645,0.39863431
F,6,2013,456402,8295.6338,82.295021,82.338539,0.42604205,0.41962624
F,6,2014,439526,7563.6777,82.442276,82.489838,0.44254708,0.43348372
F,7,2001,400027,10661.53,80.750854,80.840523,0.51685709,0.50448638
F,7,2002,412796,10957.02,81.130943,81.206528,0.53578323,0.52251029
F,7,2003,422046,10792.447,81.120209,81.195824,0.51551038,0.50381863
F,7,2004,429379,10529.68,82.351646,82.399902,0.48341352,0.47248212
F,7,2005,435203,10298.284,81.470505,81.532875,0.50510859,0.49280366
F,7,2006,440221,10061.051,81.492836,81.555275,0.49827081,0.48791364
F,7,2007,444624,10067.148,83.278687,83.306282,0.4619348,0.45444512
F,7,2008,449883,10076.666,82.130226,82.185814,0.47418478,0.46302849
F,7,2009,460384,9430.4941,81.613472,81.692932,0.45502841,0.44508615
F,7,2010,460360,9663.6074,81.655449,81.748161,0.46915695,0.45831287
F,7,2011,458169,9751,82.710373,82.758194,0.40895385,0.40102622
F,7,2012,458540,9799.0215,82.280663,82.331337,0.44794548,0.44118816
F,7,2013,456575,9433.2002,82.335449,82.378761,0.43880498,0.43010047
F,7,2014,439485,8805.9521,82.705971,82.73848,0.43221545,0.42489064
F,8,2001,400101,12068.478,81.107697,81.180038,0.54736245,0.53393728
F,8,2002,412922,12359.159,82.071739,82.119347,0.52723843,0.51407039
F,8,2003,422093,12183.043,80.95092,81.020279,0.53911495,0.52514422
F,8,2004,429662,11903.389,82.250702,82.293755,0.5217855,0.51172996
F,8,2005,435216,11651.832,82.346886,82.384529,0.49052593,0.4805063
F,8,2006,440233,11412.355,81.903481,81.94973,0.51224744,0.50112253
F,8,2007,444700,11409.415,82.502312,82.537743,0.48261544,0.47277665
F,8,2008,449937,11419.267,82.757858,82.792213,0.46037477,0.45163348
F,8,2009,460529,10715.924,82.33625,82.384514,0.4597666,0.45028296
F,8,2010,460270,10917.671,82.713226,82.766907,0.436416,0.42857975
F,8,2011,458583,10866.327,81.477768,81.552292,0.47515821,0.46391878
F,8,2012,458523,10905.766,83.067947,83.092209,0.43338746,0.42692554
F,8,2013,456550,10450.846,81.917633,81.963959,0.45052975,0.44169036
F,8,2014,439795,9793.9697,82.362755,82.40062,0.47339568,0.46657088
F,9,2001,400159,13383.198,81.151703,81.213005,0.55919164,0.54418015
F,9,2002,412966,13671.291,80.870628,80.93071,0.55150545,0.53776813
F,9,2003,422062,13485.804,80.78611,80.853836,0.57117349,0.55655229
F,9,2004,429648,13195.979,82.112328,82.145439,0.50040615,0.48990083
F,9,2005,435305,12932.947,82.481628,82.505615,0.52003032,0.50872099
F,9,2006,440372,12713.914,82.70784,82.727608,0.48370132,0.47434533
F,9,2007,444839,12702.27,82.696136,82.716972,0.503582,0.49226037
F,9,2008,449976,12708.179,82.576195,82.602081,0.47840485,0.46863937
F,9,2009,460470,12031.871,82.122597,82.165611,0.48564819,0.47526005
F,9,2010,460406,12152.637,82.342491,82.397438,0.47186664,0.46277353
F,9,2011,458492,12018.596,82.355316,82.393784,0.46228552,0.45158207
F,9,2012,458714,12039.203,81.853561,81.902908,0.49053133,0.47979656
F,9,2013,456727,11554.615,82.353447,82.382095,0.46527576,0.45654187
F,9,2014,439653,10832.343,82.917534,82.926582,0.43933898,0.42963666
F,10,2001,400169,14620.989,81.110817,81.163208,0.58628285,0.57100171
F,10,2002,413114,14909.198,81.603226,81.641106,0.57547504,0.56137156
F,10,2003,422243,14719.403,81.913765,81.939751,0.50246018,0.49153745
F,10,2004,429657,14411.515,81.821777,81.854507,0.5167287,0.50418359
F,10,2005,435466,14137.283,81.791435,81.819359,0.53339559,0.52079248
F,10,2006,440529,13937.824,83.370461,83.366051,0.47711214,0.46839023
F,10,2007,444832,13911.404,82.5849,82.596939,0.50232267,0.49240774
F,10,2008,449964,13908.952,82.584236,82.599922,0.47147989,0.46259731
F,10,2009,460708,13248.859,81.699471,81.748001,0.49179468,0.48113206
F,10,2010,460459,13283.278,82.992996,83.027298,0.50036716,0.49156353
F,10,2011,458904,13106.717,82.149582,82.190498,0.48909128,0.47806117
F,10,2012,459212,13095.52,82.728958,82.744621,0.46628779,0.45762825
F,10,2013,456703,12604.438,82.409325,82.427071,0.48845702,0.47753346
F,10,2014,439785,11891.396,82.14856,82.182259,0.50675321,0.49426836
F,11,2001,400192,15798.869,82.835938,82.844086,0.5382024,0.52521753
F,11,2002,413217,16099.881,82.404778,82.415199,0.57154673,0.55815428
F,11,2003,422287,15902.93,81.974792,81.99482,0.57854599,0.56386673
F,11,2004,429784,15577.95,82.407616,82.415115,0.51881307,0.50783962
F,11,2005,435428,15295.239,82.85421,82.849518,0.47600624,0.46665218
F,11,2006,440516,15108.047,81.673416,81.696129,0.54767203,0.5343715
F,11,2007,444916,15069.349,83.419319,83.410202,0.50117451,0.49152184
F,11,2008,450032,15059.255,82.362968,82.377602,0.51507252,0.50308681
F,11,2009,460753,14391.146,82.539665,82.555405,0.48512581,0.47461137
F,11,2010,460449,14358.63,83.06369,83.08271,0.46344823,0.45492312
F,11,2011,458794,14101.096,82.67878,82.699844,0.48007971,0.47144526
F,11,2012,459213,14050.006,82.333977,82.349396,0.4943684,0.48519525
F,11,2013,456873,13544.418,83.154221,83.134506,0.45568591,0.44827232
F,11,2014,439896,12873.645,83.843552,83.818756,0.48345286,0.47690439
F,12,2001,400343,16943.732,81.563156,81.586624,0.59234095,0.57679057
F,12,2002,413177,17257.182,81.81823,81.832535,0.57538778,0.56113672
F,12,2003,422290,17059.088,81.367149,81.390244,0.56962729,0.55512065
F,12,2004,429793,16720.461,81.803986,81.820679,0.56946826,0.55520022
F,12,2005,435529,16441.303,81.506615,81.526558,0.54183787,0.52793294
F,12,2006,440605,16260.203,82.353683,82.357971,0.52843475,0.51682556
F,12,2007,444926,16208.41,83.677681,83.654678,0.48566258,0.47635195
F,12,2008,450218,16195.493,82.81118,82.806305,0.48806435,0.47759712
F,12,2009,460874,15532.314,83.495689,83.490364,0.48327231,0.47357029
F,12,2010,460648,15432.037,82.017876,82.057892,0.51477408,0.50232476
F,12,2011,458838,15092.979,82.776741,82.783775,0.50984222,0.49966088
F,12,2012,459454,15020.63,82.758705,82.76252,0.50168389,0.4929252
F,12,2013,456886,14488.079,82.001259,82.021011,0.52098173,0.50776404
F,12,2014,439998,13767.634,84.088379,84.048508,0.46444035,0.45723137
F,13,2001,400350,18059.328,80.858971,80.900085,0.61124396,0.59534168
F,13,2002,413251,18388.174,81.705803,81.721191,0.57618243,0.56163138
F,13,2003,422335,18181.83,82.066422,82.079079,0.57853949,0.56478912
F,13,2004,429926,17832.051,82.548454,82.549133,0.53937614,0.52652645
F,13,2005,435579,17555.424,81.863487,81.876099,0.57069445,0.55708724
F,13,2006,440709,17382.07,82.721817,82.7211,0.52777451,0.51560211
F,13,2007,445121,17319.096,82.891891,82.884193,0.5161671,0.50583482
F,13,2008,450223,17304.529,83.564537,83.551613,0.51267046,0.50240284
F,13,2009,460827,16646.221,83.071838,83.073853,0.48371989,0.47431245
F,13,2010,460826,16478.396,82.997154,83.014381,0.47536492,0.46610007
F,13,2011,459058,16092.41,83.543625,83.537331,0.46327794,0.4533155
F,13,2012,459460,15984.762,84.225533,84.198433,0.45527175,0.44711825
F,13,2013,456926,15419.865,83.095993,83.079178,0.47854069,0.47080857
F,13,2014,440119,14685.715,83.747002,83.722908,0.51023024,0.50065714
F,14,2001,400424,19153.477,82.746262,82.751808,0.57460916,0.56043255
F,14,2002,413252,19494.09,81.943047,81.957733,0.59101385,0.57580918
F,14,2003,422492,19283.105,83.128807,83.118706,0.52967662,0.51830786
F,14,2004,429815,18915.262,82.489586,82.495132,0.57350767,0.55925024
F,14,2005,435665,18634.291,82.039528,82.049522,0.54511005,0.53216857
F,14,2006,440655,18471.414,83.508194,83.489624,0.52277619,0.51219481
F,14,2007,444991,18396.625,83.61129,83.600319,0.53767663,0.52720273
F,14,2008,450320,18381.221,83.92981,83.909805,0.48556742,0.47775489
F,14,2009,460865,17730.438,82.742714,82.753357,0.50698286,0.49512953
F,14,2010,460548,17506.506,83.476189,83.490379,0.53040463,0.5198791
F,14,2011,458839,17077.752,83.846794,83.834785,0.4662053,0.45766684
F,14,2012,459622,16928.863,83.192673,83.192833,0.53399104,0.52322751
F,14,2013,456936,16337.981,83.705574,83.688248,0.505943,0.49655873
F,14,2014,440085,15591.651,84.055328,84.027542,0.49547857,0.48715833
F,15,2001,400302,20231.129,81.679558,81.706863,0.59200495,0.5772993
F,15,2002,413340,20584.586,82.916862,82.91494,0.56332815,0.55016726
F,15,2003,422486,20362.766,82.318451,82.328644,0.59462273,0.58013421
F,15,2004,429961,19981.086,82.184937,82.194466,0.56596011,0.55227292
F,15,2005,435507,19697.008,82.727341,82.725952,0.52758831,0.51545405
F,15,2006,440784,19544.428,82.387856,82.396202,0.55154115,0.53899604
F,15,2007,445156,19457.41,84.094215,84.075699,0.54351485,0.53440452
F,15,2008,450341,19440.006,83.21244,83.212013,0.53682739,0.52613252
F,15,2009,460888,18789.041,83.149376,83.156982,0.51648986,0.50496441
F,15,2010,460783,18522.24,83.36145,83.37738,0.50323689,0.49359694
F,15,2011,459039,18049.756,83.334854,83.329285,0.46291602,0.45306176
F,15,2012,459494,17867.172,83.435638,83.431137,0.49457249,0.4850373
F,15,2013,457094,17245.08,83.215439,83.208229,0.50224978,0.49232328
F,15,2014,440073,16473.25,83.610481,83.60199,0.52181005,0.51193088
F,16,2001,400352,21299.371,82.440567,82.456917,0.58770561,0.57332706
F,16,2002,413322,21661.377,82.799973,82.803726,0.56228995,0.54931098
F,16,2003,422413,21431.502,83.352898,83.346901,0.55455166,0.54173923
F,16,2004,429821,21035.314,82.268257,82.284798,0.59492785,0.58058804
F,16,2005,435606,20744.795,82.582787,82.590851,0.55088317,0.53809476
F,16,2006,440718,20607.57,83.22316,83.221397,0.57492018,0.56192034
F,16,2007,445150,20506.74,83.305092,83.298271,0.54418224,0.53285992
F,16,2008,450312,20490.531,83.091637,83.098213,0.55895036,0.547791
F,16,2009,461041,19838.889,84.218163,84.205994,0.48101947,0.47257239
F,16,2010,460775,19529.617,83.996368,84.00235,0.51110828,0.50191814
F,16,2011,459127,19015.584,83.302803,83.304428,0.50234365,0.49153036
F,16,2012,459525,18801.988,82.991119,82.997337,0.51287496,0.50219756
F,16,2013,457074,18157.406,84.121056,84.098007,0.47786689,0.46884197
F,16,2014,440220,17344.557,84.606667,84.574059,0.48122448,0.47254258
F,17,2001,400407,22359.33,81.417267,81.456627,0.63284361,0.61552685
F,17,2002,413243,22726.203,82.441772,82.456062,0.60812765,0.59306234
F,17,2003,422556,22487.334,82.422462,82.437218,0.60483897,0.59001273
F,17,2004,429864,22079,82.555466,82.567017,0.58485341,0.57062799
F,17,2005,435667,21782.939,83.324997,83.323402,0.56388986,0.55244219
F,17,2006,440778,21661.674,82.608009,82.619484,0.58593607,0.57197535
F,17,2007,445191,21547.361,82.873268,82.876457,0.55801094,0.54535156
F,17,2008,450350,21530.334,83.696236,83.688667,0.50194782,0.49185574
F,17,2009,461072,20879.918,82.669342,82.692627,0.52737057,0.51564813
F,17,2010,460876,20528.119,83.796799,83.810898,0.51726979,0.50819588
F,17,2011,459093,19977.895,83.854263,83.852325,0.51945037,0.50970924
F,17,2012,459484,19737.121,83.891495,83.880005,0.48730981,0.47941619
F,17,2013,457136,19077.133,83.947365,83.938789,0.52936345,0.51825857
F,17,2014,440089,18226.432,83.944046,83.931114,0.51282477,0.50254446
F,18,2001,400480,23413.824,82.946228,82.959946,0.61985034,0.60428178
F,18,2002,413294,23785.262,82.420998,82.439995,0.60495347,0.59026414
F,18,2003,422404,23534.887,82.455505,82.467819,0.55213201,0.53871465
F,18,2004,430014,23116.797,82.948059,82.952492,0.55254465,0.53982323
F,18,2005,435750,22818.035,83.375786,83.373619,0.55999398,0.54722255
F,18,2006,440775,22710.389,83.285789,83.282394,0.52901411,0.51816022
F,18,2007,445198,22583.822,83.647255,83.635971,0.52272338,0.51264399
F,18,2008,450313,22566.297,83.599991,83.599442,0.53725719,0.52605474
F,18,2009,461205,21916.504,82.788597,82.811722,0.53804868,0.52611017
F,18,2010,460852,21515.072,83.042107,83.075539,0.55451578,0.5415895
F,18,2011,459104,20936.365,84.114113,84.105911,0.48368347,0.47650763
F,18,2012,459552,20668.477,83.972656,83.96524,0.49377513,0.4857139
F,18,2013,457088,20001.158,84.553307,84.521095,0.46081257,0.45213112
F,18,2014,439462,19114.549,84.66143,84.634621,0.50828713,0.50058866
F,19,2001,400500,24461.66,82.803299,82.820015,0.60176444,0.58638924
F,19,2002,413418,24837.877,82.852875,82.866699,0.61406922,0.59881729
F,19,2003,422494,24576.033,82.765678,82.778198,0.5781129,0.56355798
F,19,2004,430129,24149.439,83.518318,83.518936,0.5811317,0.56860459
F,19,2005,435662,23845.197,84.165527,84.151375,0.51553333,0.50499439
F,19,2006,440849,23751.229,84.324364,84.310196,0.53720015,0.52663594
F,19,2007,445313,23616.707,83.574409,83.570053,0.55320305,0.54161137
F,19,2008,450458,23600.535,83.853729,83.851196,0.52366608,0.51312912
F,19,2009,461057,22952.158,83.867035,83.87455,0.53820562,0.52660233
F,19,2010,460833,22501.008,84.201225,84.21167,0.49985784,0.49015284
F,19,2011,459229,21891.281,84.048813,84.04747,0.49472609,0.48517725
F,19,2012,459609,21599.49,83.962051,83.956429,0.51445597,0.50497931
F,19,2013,456941,20925.135,83.880554,83.863869,0.4848513,0.47611418
F,19,2014,439572,20004.92,85.15271,85.117607,0.48031229,0.47240812
F,20,2001,400418,25508.436,82.698029,82.723396,0.61247176,0.59698486
F,20,2002,413378,25888.301,84.141212,84.134766,0.56619799,0.5529204
F,20,2003,422599,25612.393,82.061012,82.092636,0.60612732,0.59095806
F,20,2004,429958,25178.25,82.827011,82.843269,0.55643088,0.54323977
F,20,2005,435728,24866.574,84.169884,84.162865,0.54774183,0.53605312
F,20,2006,440693,24789.668,83.209351,83.22197,0.59432858,0.58050013
F,20,2007,445154,24645.332,83.849991,83.846497,0.54116976,0.529055
F,20,2008,450463,24633.316,84.687256,84.666855,0.48438552,0.47593457
F,20,2009,461037,23984.473,82.883659,82.909706,0.5482468,0.53526729
F,20,2010,460945,23489.539,84.33474,84.343452,0.52217203,0.51222688
F,20,2011,459237,22846.551,83.938454,83.943077,0.51687354,0.50671345
F,20,2012,459640,22529.314,83.864601,83.866402,0.53597736,0.52614534
F,20,2013,457239,21846.674,83.448746,83.447365,0.53120852,0.51955301
F,20,2014,439936,20896.951,84.230637,84.220749,0.5215345,0.51128548
F,21,2001,400505,26552.121,82.40554,82.439278,0.61086893,0.59504521
F,21,2002,413321,26937.654,82.852448,82.873444,0.60303634,0.58823073
F,21,2003,422686,26647.234,83.450684,83.459579,0.55291229,0.53949988
F,21,2004,430090,26202.955,83.041977,83.065308,0.60627943,0.59153855
F,21,2005,435660,25886.07,82.861542,82.882202,0.58719009,0.57268208
F,21,2006,440942,25826.342,83.591949,83.601326,0.58034855,0.56689847
F,21,2007,445282,25675.764,84.46492,84.455711,0.54587978,0.53529871
F,21,2008,450437,25664.211,83.611374,83.625725,0.54605097,0.5343405
F,21,2009,461269,25015.123,84.112709,84.121651,0.50106674,0.49063557
F,21,2010,460925,24478.58,84.330818,84.34301,0.50987816,0.49955016
F,21,2011,459292,23802.266,84.296585,84.29631,0.50466877,0.49416539
F,21,2012,459592,23460.398,84.174675,84.1763,0.52486628,0.51573378
F,21,2013,457097,22768.34,84.119637,84.116989,0.50797278,0.49800503
F,21,2014,439831,21793.287,84.455009,84.443336,0.53097385,0.52026123
F,22,2001,400519,27595.33,82.983421,83.016441,0.6206336,0.60444242
F,22,2002,413512,27988.787,83.616577,83.632851,0.5824827,0.56843078
F,22,2003,422496,27683.781,83.110947,83.136276,0.61846465,0.6027866
F,22,2004,430011,27227.971,83.486603,83.502129,0.5527193,0.53976679
F,22,2005,435685,26905.873,82.781715,82.812523,0.62395531,0.60853529
F,22,2006,440731,26859.596,83.633423,83.64801,0.57474387,0.56168318
F,22,2007,445252,26703.426,84.518478,84.515945,0.56012708,0.54862761
F,22,2008,450442,26693.291,83.562439,83.58107,0.547961,0.53542143
F,22,2009,461177,26050.951,82.821526,82.869026,0.57862079,0.56420988
F,22,2010,460913,25471.027,84.761169,84.778351,0.51366341,0.50347519
F,22,2011,459169,24761.461,84.945862,84.944572,0.49578494,0.48565555
F,22,2012,459769,24393.941,85.146492,85.138031,0.48311561,0.47488642
F,22,2013,457263,23689.969,83.466263,83.485985,0.55815619,0.54611737
F,22,2014,440005,22687.855,85.473221,85.450432,0.47601828,0.46838656
F,23,2001,400582,28642.971,81.673256,81.73481,0.63104558,0.6137988
F,23,2002,413470,29046.582,82.373535,82.420006,0.63326627,0.6163879
F,23,2003,422566,28720.135,84.263474,84.27034,0.59281743,0.5794434
F,23,2004,430188,28253.01,83.056679,83.088264,0.59500778,0.58009911
F,23,2005,435887,27924.098,83.977905,83.987343,0.56566346,0.55332011
F,23,2006,440948,27896.182,83.578743,83.59787,0.58156013,0.56752318
F,23,2007,445250,27731.9,83.898254,83.910431,0.55818379,0.54549778
F,23,2008,450349,27722.891,84.465904,84.473969,0.51786095,0.50715131
F,23,2009,461232,27089.725,84.106964,84.127571,0.53234226,0.52125257
F,23,2010,460894,26467.572,84.557899,84.578316,0.50337988,0.49388933
F,23,2011,459236,25727.887,84.498711,84.508621,0.49422795,0.48412114
F,23,2012,459788,25336.066,83.604797,83.63588,0.55240828,0.54001516
F,23,2013,457269,24622.633,84.207756,84.211845,0.52592015,0.51569045
F,23,2014,440352,23585.385,84.844963,84.839417,0.53197592,0.52108294
F,24,2001,400554,29697.404,81.964348,82.024643,0.6502468,0.63254297
F,24,2002,413440,30103.539,83.005127,83.036217,0.59446234,0.57911247
F,24,2003,422645,29761.268,82.434364,82.475906,0.62698841,0.60966098
F,24,2004,430109,29278.504,83.815933,83.828499,0.55427194,0.54150486
F,24,2005,435683,28943.945,83.675964,83.695129,0.59007996,0.57629466
F,24,2006,441015,28935.006,84.204926,84.213066,0.54587758,0.53384298
F,24,2007,445250,28762.363,84.03923,84.047287,0.56716669,0.55414176
F,24,2008,450522,28756.555,83.943626,83.960678,0.54775083,0.53595108
F,24,2009,461154,28127.195,83.792831,83.822006,0.54932815,0.53767931
F,24,2010,461011,27469.328,84.249275,84.281616,0.53036886,0.519122
F,24,2011,459324,26698.969,85.208534,85.205894,0.51161289,0.50241697
F,24,2012,459858,26286.166,84.614807,84.617867,0.51431751,0.50611037
F,24,2013,457343,25566.365,85.358322,85.342278,0.49463153,0.48642105
F,24,2014,440496,24488.373,84.73484,84.728836,0.51538795,0.50616986
F,25,2001,400535,30754.541,83.276604,83.304237,0.59399509,0.57762128
F,25,2002,413569,31170.646,83.301743,83.327332,0.62819141,0.61227417
F,25,2003,422634,30805.65,83.020569,83.050903,0.60859919,0.59308213
F,25,2004,430112,30308.641,83.695221,83.709763,0.57351935,0.55952877
F,25,2005,435861,29967.396,83.014526,83.04599,0.59772617,0.58362234
F,25,2006,440984,29976.803,83.447914,83.473,0.60315019,0.58836073
F,25,2007,445361,29795.848,84.484207,84.479889,0.53942978,0.52852005
F,25,2008,450474,29793.756,84.19104,84.200584,0.55060506,0.53913951
F,25,2009,461336,29172.248,83.704605,83.734367,0.55198604,0.53895766
F,25,2010,461040,28476.338,84.071419,84.10363,0.54695386,0.53557676
F,25,2011,459287,27677.379,84.306778,84.323471,0.54795623,0.53604001
F,25,2012,459797,27244.059,84.860802,84.855507,0.51103258,0.50277203
F,25,2013,457287,26522.949,84.933502,84.921051,0.51689357,0.50722641
F,25,2014,440274,25398.436,85.379883,85.367195,0.53257686,0.52385414
F,26,2001,400507,31815.357,83.549698,83.57206,0.59614682,0.5817973
F,26,2002,413459,32240.83,83.639267,83.654114,0.59461522,0.57933533
F,26,2003,422622,31855.311,83.30426,83.327835,0.59430981,0.57970589
F,26,2004,430020,31340.566,83.101868,83.128296,0.60032535,0.58576202
F,26,2005,435731,30996.213,84.323296,84.327057,0.56996614,0.55679941
F,26,2006,440962,31022.924,84.148819,84.155037,0.57132971,0.55868655
F,26,2007,445207,30835.492,84.101822,84.104958,0.57666814,0.56447428
F,26,2008,450475,30836.996,84.042915,84.052956,0.56409687,0.55256456
F,26,2009,461299,30222.996,83.453316,83.481682,0.56475031,0.55149841
F,26,2010,460973,29489.346,84.081779,84.111359,0.55480158,0.54344887
F,26,2011,459388,28666.057,84.815277,84.816086,0.53724694,0.52766943
F,26,2012,459877,28209.891,84.488663,84.488914,0.54840374,0.53854865
F,26,2013,457390,27486.594,85.546471,85.515663,0.46301943,0.45585749
F,26,2014,440336,26317.939,84.263832,84.266548,0.56852359,0.55654526
F,27,2001,400575,32878.34,83.207367,83.234673,0.61088449,0.59468043
F,27,2002,413482,33315.977,83.468666,83.490067,0.63543969,0.61807573
F,27,2003,422720,32911.379,83.496811,83.509689,0.56039238,0.54839522
F,27,2004,430080,32378.965,83.977386,83.98555,0.59945381,0.58680236
F,27,2005,435858,32028.752,83.023811,83.048462,0.59294528,0.57797194
F,27,2006,440963,32071.91,84.376984,84.376434,0.56881243,0.5568397
F,27,2007,445543,31880.965,85.053825,85.040092,0.54014492,0.53000414
F,27,2008,450561,31885.525,85.082603,85.07238,0.52693611,0.51711786
F,27,2009,461303,31277.971,83.944931,83.968773,0.57741868,0.56423676
F,27,2010,461020,30510.59,85.239899,85.241959,0.4813647,0.47373822
F,27,2011,459315,29665.324,84.483017,84.489235,0.53118771,0.5205881
